Группа;Специальность;Курс;Год набора;education_program_id;Куратор
Хореографическое творчество А, набор 2026;51.02.01 Народное художественное творчество;1;2026;7;
Хореографическое творчество Б, набор 2026;51.02.01 Народное художественное творчество;1;2026;7;
Хореографическое творчество А, набор 2025;51.02.01 Народное художественное творчество;2;2025;;
Хореографическое творчество Б, набор 2025;51.02.01 Народное художественное творчество;2;2025;;
Хореографическое творчество А, набор 2024;51.02.01 Народное художественное творчество;3;2024;;
Хореографическое творчество Б, набор 2024;51.02.01 Народное художественное творчество;3;2024;;
Хореографическое творчество А, набор 2023;51.02.01 Народное художественное творчество;4;2023;;
Хореографическое творчество Б, набор 2023;51.02.01 Народное художественное творчество;4;2023;;
Театральное творчество А, набор 2026;51.02.01 Народное художественное творчество;1;2026;7;
Театральное творчество Б, набор 2026;51.02.01 Народное художественное творчество;1;2026;7;
Театральное творчество А, набор 2025;51.02.01 Народное художественное творчество;2;2025;;
Театральное творчество А, набор 2024;51.02.01 Народное художественное творчество;3;2024;;
Театральное творчество Б, набор 2024;51.02.01 Народное художественное творчество;3;2024;;
Театральное творчество, набор 2023;51.02.01 Народное художественное творчество;4;2023;;
Социально-культурная деятельность А, набор 2026;51.02.02 Социально-культурная деятельность;1;2026;8;
Социально-культурная деятельность Б, набор 2026;51.02.02 Социально-культурная деятельность;1;2026;8;
Социально-культурная деятельность А, набор 2025;51.02.02 Социально-культурная деятельность;2;2025;;
Социально-культурная деятельность А, набор 2024;51.02.02 Социально-культурная деятельность;3;2024;;
Социально-культурная деятельность Б, набор 2024;51.02.02 Социально-культурная деятельность;3;2024;;
Социально-культурная деятельность, набор 2023;51.02.02 Социально-культурная деятельность;4;2023;;
Библиотечно-информационная деятельность А, набор 2026;51.02.03 Библиотечно-информационная деятельность;1;2026;11;
Библиотечно-информационная деятельность Б, набор 2026;51.02.03 Библиотечно-информационная деятельность;1;2026;11;
Библиотечно-информационная деятельность А, набор 2025;51.02.03 Библиотечно-информационная деятельность;2;2025;;
Библиотечно-информационная деятельность Б, набор 2025;51.02.03 Библиотечно-информационная деятельность;2;2025;;
Библиотечно-информационная деятельность, набор 2024;51.02.03 Библиотечно-информационная деятельность;3;2024;;
Инструменты эстрадного оркестра, набор 2026;53.02.02 Музыкальное искусство эстрады;1;2026;1;
Инструменты эстрадного оркестра, набор 2025;53.02.02 Музыкальное искусство эстрады;2;2025;;
Инструменты эстрадного оркестра, набор 2024;53.02.02 Музыкальное искусство эстрады;3;2024;;
Инструменты эстрадного оркестра, набор 2023;53.02.02 Музыкальное искусство эстрады;4;2023;;
Эстрадное пение, набор 2026;53.02.02 Музыкальное искусство эстрады;1;2026;1;
Эстрадное пение, набор 2025;53.02.02 Музыкальное искусство эстрады;2;2025;;
Эстрадное пение, набор 2024;53.02.02 Музыкальное искусство эстрады;3;2024;;
Эстрадное пение, набор 2023;53.02.02 Музыкальное искусство эстрады;4;2023;;
Фортепиано, набор 2026;53.02.03 Инструментальное исполнительство;1;2026;2;
Фортепиано, набор 2025;53.02.03 Инструментальное исполнительство;2;2025;;
Фортепиано, набор 2024;53.02.03 Инструментальное исполнительство;3;2024;;
Фортепиано, набор 2023;53.02.03 Инструментальное исполнительство;4;2023;;
Оркестровые струнные инструменты, набор 2026;53.02.03 Инструментальное исполнительство;1;2026;2;
Оркестровые струнные инструменты, набор 2025;53.02.03 Инструментальное исполнительство;2;2025;;
Оркестровые струнные инструменты, набор 2024;53.02.03 Инструментальное исполнительство;3;2024;;
Оркестровые струнные инструменты, набор 2023;53.02.03 Инструментальное исполнительство;4;2023;;
Оркестровые духовые и ударные инструменты, набор 2026;53.02.03 Инструментальное исполнительство;1;2026;2;
Оркестровые духовые и ударные инструменты, набор 2025;53.02.03 Инструментальное исполнительство;2;2025;;
Оркестровые духовые и ударные инструменты, набор 2024;53.02.03 Инструментальное исполнительство;3;2024;;
Оркестровые духовые и ударные инструменты, набор 2023;53.02.03 Инструментальное исполнительство;4;2023;;
Инструменты народного оркестра, набор 2026;53.02.03 Инструментальное исполнительство;1;2026;2;
Инструменты народного оркестра, набор 2025;53.02.03 Инструментальное исполнительство;2;2025;;
Инструменты народного оркестра, набор 2024;53.02.03 Инструментальное исполнительство;3;2024;;
Инструменты народного оркестра, набор 2023;53.02.03 Инструментальное исполнительство;4;2023;;
Вокальное искусство, набор 2026;53.02.04 Вокальное искусство;1;2026;3;
Вокальное искусство, набор 2025;53.02.04 Вокальное искусство;2;2025;;
Вокальное искусство, набор 2024;53.02.04 Вокальное искусство;3;2024;;
Вокальное искусство, набор 2023;53.02.04 Вокальное искусство;4;2023;;
Хоровое народное пение, набор 2026;53.02.05 Сольное и хоровое народное пение;1;2026;4;
Хоровое народное пение, набор 2025;53.02.05 Сольное и хоровое народное пение;2;2025;;
Хоровое народное пение, набор 2024;53.02.05 Сольное и хоровое народное пение;3;2024;;
Хоровое народное пение, набор 2023;53.02.05 Сольное и хоровое народное пение;4;2023;;
Хоровое дирижирование, набор 2026;53.02.06 Хоровое дирижирование;1;2026;5;
Хоровое дирижирование, набор 2025;53.02.06 Хоровое дирижирование;2;2025;;
Хоровое дирижирование, набор 2024;53.02.06 Хоровое дирижирование;3;2024;;
Хоровое дирижирование, набор 2023;53.02.06 Хоровое дирижирование;4;2023;;
Теория музыки, набор 2026;53.02.07 Теория музыки;1;2026;6;
Теория музыки, набор 2025;53.02.07 Теория музыки;2;2025;;
Теория музыки, набор 2024;53.02.07 Теория музыки;3;2024;;
Теория музыки, набор 2023;53.02.07 Теория музыки;4;2023;;
Социально-культурная деятельность заочная (после 9 класса), набор 2026;51.02.02 Социально-культурная деятельность;1;2026;9;
Социально-культурная деятельность заочная (после 11 класса), набор 2026;51.02.02 Социально-культурная деятельность;1;2026;10;
Библиотечно-информационная деятельность заочная, набор 2026;51.02.03 Библиотечно-информационная деятельность;1;2026;12;
