Код специальности;Программа;Год начала;Форма обучения;Срок обучения;Активна;Описание
51.02.01;ППССЗ Народное художественное творчество;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
51.02.01;ППССЗ Народное художественное творчество;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
51.02.01;ППССЗ Народное художественное творчество;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
51.02.02;ППССЗ Социально-культурная деятельность после 9 класса;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
51.02.02;ППССЗ Социально-культурная деятельность после 9 класса;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
51.02.02;ППССЗ Социально-культурная деятельность после 9 класса;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
51.02.03;ППССЗ Библиотечно-информационная деятельность;2024;Очная;2.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
51.02.03;ППССЗ Библиотечно-информационная деятельность;2025;Очная;2.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
53.02.02;ППССЗ Музыкальное искусство эстрады;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
53.02.02;ППССЗ Музыкальное искусство эстрады;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
53.02.02;ППССЗ Музыкальное искусство эстрады;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
53.02.03;ППССЗ Инструментальное исполнительство;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
53.02.03;ППССЗ Инструментальное исполнительство;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
53.02.03;ППССЗ Инструментальное исполнительство;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
53.02.04;ППССЗ Вокальное искусство;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
53.02.04;ППССЗ Вокальное искусство;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
53.02.04;ППССЗ Вокальное искусство;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
53.02.05;ППССЗ Сольное и хоровое народное пение;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
53.02.05;ППССЗ Сольное и хоровое народное пение;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
53.02.05;ППССЗ Сольное и хоровое народное пение;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
53.02.06;ППССЗ Хоровое дирижирование;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
53.02.06;ППССЗ Хоровое дирижирование;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
53.02.06;ППССЗ Хоровое дирижирование;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
53.02.07;ППССЗ Теория музыки;2023;Очная;3.8;да;Заведена для набора 2023: сроки те же, что у набора 2026.
53.02.07;ППССЗ Теория музыки;2024;Очная;3.8;да;Заведена для набора 2024: сроки те же, что у набора 2026.
53.02.07;ППССЗ Теория музыки;2025;Очная;3.8;да;Заведена для набора 2025: сроки те же, что у набора 2026.
